Group,HomePlanet,CryoSleep,Deck,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
0001,2.0,0.0,2.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0002,1.0,0.0,6.0,1.0,24.0,0.0,109.0,9.0,25.0,549.0,44.0,True
0003,2.0,0.0,1.0,1.0,58.0,1.0,43.0,3576.0,0.0,6715.0,49.0,False
0003,2.0,0.0,1.0,1.0,33.0,0.0,0.0,1283.0,371.0,3329.0,193.0,False
0004,1.0,0.0,6.0,1.0,16.0,0.0,303.0,70.0,151.0,565.0,2.0,True
0005,1.0,0.0,6.0,2.0,44.0,0.0,0.0,483.0,0.0,291.0,0.0,True
0006,1.0,0.0,6.0,1.0,26.0,0.0,42.0,1539.0,3.0,0.0,0.0,True
0006,1.0,1.0,7.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,138.0,True
0007,1.0,0.0,6.0,1.0,35.0,0.0,0.0,785.0,17.0,216.0,0.0,True
0008,2.0,1.0,2.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0008,2.0,1.0,2.0,1.0,34.0,0.0,0.0,0.0,151.0,0.0,0.0,True
0008,2.0,0.0,2.0,3.0,45.0,0.0,39.0,7295.0,589.0,110.0,124.0,True
0009,3.0,0.0,6.0,1.0,32.0,0.0,73.0,0.0,1123.0,0.0,113.0,True
0010,1.0,0.0,7.0,1.0,48.0,0.0,719.0,1.0,65.0,0.0,24.0,False
0011,1.0,0.0,6.0,1.0,28.0,0.0,8.0,974.0,12.0,2.0,7.0,True
0014,3.0,0.0,6.0,3.0,27.0,0.0,1286.0,122.0,308.0,0.0,0.0,False
0015,1.0,0.0,6.0,3.0,24.0,0.0,0.0,1.0,0.0,0.0,637.0,False
0016,3.0,1.0,6.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0017,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0017,1.0,0.0,6.0,3.0,14.0,0.0,412.0,0.0,1.0,0.0,679.0,False
0020,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0020,1.0,1.0,5.0,3.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0020,1.0,1.0,5.0,3.0,29.0,0.0,0.0,0.0,133.0,0.0,0.0,False
0020,1.0,0.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0020,1.0,1.0,5.0,2.0,1.0,0.0,137.0,0.0,0.0,0.0,0.0,False
0020,1.0,0.0,5.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0022,3.0,0.0,4.0,1.0,21.0,0.0,980.0,2.0,69.0,0.0,0.0,False
0024,2.0,1.0,3.0,1.0,62.0,0.0,0.0,0.0,151.0,0.0,0.0,True
0025,1.0,0.0,6.0,1.0,15.0,0.0,0.0,225.0,0.0,998.0,0.0,False
0026,2.0,0.0,3.0,3.0,34.0,0.0,22.0,6073.0,0.0,1438.0,328.0,False
0028,3.0,0.0,6.0,1.0,43.0,0.0,1125.0,0.0,136.0,48.0,0.0,False
0030,1.0,0.0,7.0,1.0,32.0,0.0,0.0,850.0,81.0,437.0,453.0,False
0031,3.0,0.0,6.0,1.0,47.0,0.0,214.0,0.0,1411.0,0.0,1229.0,True
0031,3.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0031,3.0,0.0,6.0,1.0,20.0,0.0,553.0,0.0,1750.0,990.0,0.0,True
0034,2.0,1.0,4.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0035,3.0,0.0,4.0,3.0,23.0,0.0,784.0,964.0,0.0,951.0,0.0,False
0038,1.0,0.0,6.0,3.0,20.0,0.0,554.0,195.0,0.0,2606.0,0.0,False
0039,1.0,1.0,7.0,3.0,30.0,0.0,0.0,0.0,133.0,0.0,0.0,False
0041,1.0,1.0,7.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0043,2.0,0.0,2.0,1.0,45.0,0.0,0.0,164.0,45.0,2511.0,855.0,False
0044,1.0,1.0,7.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0044,1.0,1.0,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0044,1.0,1.0,7.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0045,3.0,0.0,6.0,1.0,21.0,0.0,970.0,0.0,180.0,0.0,64.0,False
0045,3.0,1.0,6.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0050,1.0,0.0,5.0,3.0,35.0,0.0,790.0,0.0,0.0,142.0,0.0,False
0051,1.0,0.0,5.0,1.0,56.0,0.0,0.0,112.0,0.0,1379.0,127.0,False
0053,1.0,0.0,6.0,1.0,25.0,0.0,0.0,0.0,1938.0,0.0,1.0,True
0056,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True
